abscodi,direction,latitude,longitude
027,"Carrer GIRONA 72, 08009 Barcelona",41.3952452,2.1709482
021,"Carrer COMTE BORRELL 133, 08015 Barcelona",41.3809198,2.1577618
025,"Carrer CASANOVA 165, 08036 Barcelona",41.3916947,2.150262
069,"Passatge POSOLTEGA 8 BIS, 08030 Barcelona",41.4379579,2.1967421
027,"Carrer VALENCIA 278, 08007 Barcelona",41.3933087,2.1647106
029,"Carrer MALLORCA 468, 08013 Barcelona",41.4057656,2.1786398
042,"Carrer SANTALO 53, 08021 Barcelona",41.3966175,2.1444186
027,"Carrer MALLORCA 312, 08037 Barcelona",41.3973323,2.1676072
021,"Avinguda MISTRAL 48, 08015 Barcelona",41.3762971,2.1546493
020,"Carrer PINTOR FORTUNY 31, 08001 Barcelona",41.3822978,2.1688201
077,"Carrer CLOT 57, 08018 Barcelona",41.407969,2.1881998
035,"Carrer VILARDELL 9, 08014 Barcelona",41.37473260000001,2.1422431
024,"Ronda SANT ANTONI 15, 08011 Barcelona",41.37995919999999,2.1630769
062,"Carrer MIGUEL HERNANDEZ 17, 08042 Barcelona",41.4431188,2.1646571
030,"Carrer CONSELL DE CENT 475 BIS, 08013 Barcelona",41.3994691,2.1766514
018,"Carrer SANTA ANNA 21, 08002 Barcelona",41.3853775,2.1714473
020,"Carrer RIERA ALTA 59, 08001 Barcelona",41.3803344,2.164406
048,"Carrer GRAN DE GRACIA 58, 08012 Barcelona",41.3995139,2.1560649
395,"Carrer GRAN DE SANT ANDREU 263, 08030 Barcelona",41.4356004,2.1894935
036,"Carrer VALLESPIR 13, 08014 Barcelona",41.378118,2.1378667
021,"Carrer VILADOMAT 40, 08015 Barcelona",41.376841,2.1613906
042,"Carrer BALMES 173, 08006 Barcelona",41.3959606,2.1536385
043,"Carrer BALMES 338, 08006 Barcelona",41.4033671,2.1435631
326,"Passeig MARAGALL 177, 08041 Barcelona",41.4228744,2.1782042
035,"Carrer OLZINELLES 71, 08014 Barcelona",41.37161280000001,2.1372604
027,"Carrer ROGER DE LLURIA 74, 08009 Barcelona",41.3948181,2.1668128
030,"Carrer VALENCIA 393, 08013 Barcelona",41.4011857,2.174408
019,"Carrer SANT PAU 70, 08001 Barcelona",41.37808950000001,2.1708458
069,"Carrer POTOSI 2, 08030 Barcelona",41.4427678,2.2002319
020,"Carrer SANT ANTONI ABAT 44, 08001 Barcelona",41.379067,2.1640159
072,"Carrer LLULL 187, 08005 Barcelona",41.4013026,2.202207
030,"Carrer MARINA 189, 08013 Barcelona",41.4001386,2.1794652
029,"Carrer VALENCIA 440, 08013 Barcelona",41.4023011,2.1763613
042,"Carrer BALMES 222, 08006 Barcelona",41.3983809,2.1513149
