Carrer GRAN VIA CORTS CATALANES 1113, 08020 Barcelona
Carrer GUARDIOLA I FELIU 2, 08030 Barcelona
Passeig MARE DE DEU DEL COLL 6, 08023 Barcelona
Carrer AUSIES MARCH 163, 08013 Barcelona
Carrer DUQUESA D'ORLEANS 28, 08034 Barcelona
Carrer TRAJA 20, 08004 Barcelona
Carrer BARTRINA 7, 08030 Barcelona
Carrer CALABRIA 27, 08015 Barcelona
Carrer DEU i MATA 96, 08029 Barcelona
Carrer TENOR MASSINI 116, 08028 Barcelona
Carrer AMILCAR 151, 08032 Barcelona
Carrer HORT DE LA VILA 41, 08017 Barcelona
Carrer ANDRADE 151, 08020 Barcelona
Carrer CICERO 12, 08014 Barcelona
Carrer PASTEUR 1, 08024 Barcelona
Carrer VILADOMAT 154, 08015 Barcelona
Carrer BERENGUER DE PALOU 37, 08027 Barcelona
Carrer JOAN DE GARAY 59, 08027 Barcelona
Passeig URRUTIA 113, 08042 Barcelona
Carrer MONTSERRAT DE CASANOVAS 184, 08032 Barcelona
Carrer GRAN VIA CORTS CATALANES 1052, 08020 Barcelona
Carrer MARE DE DEU DEL PORT 255, 08038 Barcelona
Carrer GONZALEZ TABLAS 5, 08034 Barcelona
Carrer MARESMA 218, 08020 Barcelona
Carrer GRAN VIA CORTS CATALANES 839, 08018 Barcelona
Carrer CONCILI DE TRENT 7, 08018 Barcelona
Carrer TORROELLA DE MONTGRI 23, 08027 Barcelona
Carrer ALBERT LLANAS 28, 08024 Barcelona
Carrer LLULL 229, 08005 Barcelona
Carrer NAPOLS 235, 08013 Barcelona
Carrer LLULL 269, 08005 Barcelona
Carrer WELLINGTON 27, 08018 Barcelona
Carrer ALI BEY 38, 08013 Barcelona
Carrer CINCA 92, 08030 Barcelona
Carrer ROMANS 1, 08025 Barcelona
Carrer QUETZAL 31, 08014 Barcelona
Carrer ANTONI DE CAMPMANY 31, 08028 Barcelona
Carrer VILA-REAL 3-5, 08033 Barcelona
Carrer VIOLANT D'HONGRIA 53, 08028 Barcelona
Carrer PANTA DE TREMP 63, 08032 Barcelona
Carrer ALI BEY 131, 08013 Barcelona
Carrer LLULL 385, 08019 Barcelona
Carrer ESCIPIO 53, 08023 Barcelona
Carrer PALENCIA 35, 08027 Barcelona
Avinguda XILE 42, 08028 Barcelona
Ronda GENERAL MITRE 36, 08017 Barcelona
Carrer ALSACIA 8, 08042 Barcelona
Carrer MIQUEL I BADIA 12, 08024 Barcelona
Carrer MINERIA 70, 08038 Barcelona
Carrer GRAN VIA CORTS CATALANES 1180, 08020 Barcelona
Passeig URRUTIA 64, 08031 Barcelona
Passeig SANT JORDI 1-3-5, 08110 Barcelona
